#	Country	Date	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
185	Yemen	28-02-2022	11,771	+2	2,135 	+1	8,693	+4	943	23	381	69	265,253	8,580	30,915,893 	Asia
186	Greenland	28-02-2022	11,715	 	18 	+2	2,761		8,936	7	205,765	316	164,926	2,896,793	56,934 	North America
187	Bermuda	28-02-2022	11,561	+71	123 		11,271	+121	167		186,781	1,987	800,448	12,932,144	61,896 	North America
188	Dominica	28-02-2022	11,108	+92	57 		10,712	+149	339		153,674	789	167,204	2,313,186	72,283 	North America
189	Saint Martin	28-02-2022	9,877		63 		1,399		8,415	 7	248,415	1,585	78,366	1,970,976	39,760 	North America
190	Eritrea	28-02-2022	9,701	+1	103 		9,594	+1	4		2,674	28	23,693	6,531	3,627,902 	Africa
191	Sint Maarten	28-02-2022	9,561	+13	85 		9,430	+10	46	10	218,867	1,946	62,056	1,420,566	43,684 	North America
192	Monaco	28-02-2022	9,411	+34	51 		9,190	+50	170	4	237,029	1,285	54,960	1,384,243	39,704 	Europe
193	Niger	28-02-2022	8,754	+3	307 		8,432		15	1	341	12	228,839	8,918	25,659,226 	Africa
194	Comoros	28-02-2022	8,033		160 		7,855		18		8,922	178			900,338 	Africa
195	Guinea-Bissau	28-02-2022	8,001		167 		6,978		856	6	3,912	82	123,632	60,451	2,045,169 	Africa
196	Sierra Leone	28-02-2022	7,665		125 		N/A	N/A	N/A		930	15	259,958	31,525	8,246,168 	Africa
